Patent_Number,Title,Date,CPC,Abstract
"10,095,981",Multi-state quantum optimization engine,"October 9, 2018",G06N 20/00 (20190101); G06N 10/00 (20190101),"Methods, systems, and apparatus for solving optimization tasks. In one aspect, a method includes receiving input data comprising (i) data specifying an optimization task to be solved, and (ii) data specifying task objectives for solving the optimization task, comprising one or more local task objectives and one or more global task objectives; processing the received input data to obtain one or more initial solutions to the optimization task based on the local task objectives, wherein at least one initial solution is obtained from a first quantum computing resource; and processing the generated one or more initial solutions using a second quantum computing resource to generate a global solution to the optimization task based on the global task objectives."
"10,068,183","Bioinformatics systems, apparatuses, and methods executed on a quantum processing platform","September 4, 2018",G06F 19/18 (20130101); G06N 7/005 (20130101); G06K 9/6297 (20130101); G06N 10/00 (20190101); G06F 16/137 (20190101); G06F 19/22 (20130101); G06F 19/28 (20130101)," A system, method and apparatus for executing a bioinformatics analysis on genetic sequence data includes a quantum computing device formed of a set of hardwired quantum logic circuits interconnected by a plurality of superconducting connections to process information represented as a quantum state that is configured as a set of one or more qubits. The hardwired quantum logic circuits may be arranged as a set of processing engines, each processing engine being formed of a subset of the hardwired quantum logic circuits to perform one or more steps in the bioinformatics analysis on the reads of genomic data. Each subset of the hardwired quantum logic circuits may be formed in a wired configuration to perform the one or more steps in the bioinformatics analysis."
"10,068,181",Microwave integrated quantum circuits with cap wafer and methods for making the same,"September 4, 2018",G06N 10/00 (20190101); H01L 21/76891 (20130101); H01L 39/045 (20130101); H01L 21/76898 (20130101); H01L 21/76877 (20130101); H01L 39/223 (20130101); H01L 27/18 (20130101); H01L 2225/06541 (20130101); B82Y 10/00 (20130101); Y10S 977/933 (20130101); H01L 2225/1041 (20130101),"A quantum computing system that includes a quantum circuit device having at least one operating frequency; a first substrate having a first surface on which the quantum circuit device is disposed; a second substrate having a first surface that defines a recess of the second substrate, the first and second substrates being arranged such that the recess of the second substrate forms an enclosure that houses the quantum circuit device; and an electrically conducting layer that covers at least a portion of the recess of the second substrate."
"10,044,638",Methods and systems for quantum computing,"August 7, 2018",H04L 41/046 (20130101); G06F 16/951 (20190101); G06F 21/44 (20130101); G06N 3/006 (20130101); H04L 63/20 (20130101); G06N 10/00 (20190101); G06F 9/4806 (20130101); H04L 67/2823 (20130101); H04L 47/82 (20130101); G06F 9/54 (20130101); G06F 16/25 (20190101); G06F 16/245 (20190101); G06F 9/5083 (20130101); H04L 45/741 (20130101); H04L 67/10 (20130101); H04L 63/08 (20130101),"The present disclosure provides methods, systems, and media for quantum computing, including allowing access to quantum ready and/or quantum enabled computers in a distributed computing environment (e.g., the cloud). Such methods and systems may provide optimization and computational services. Methods and systems of the present disclosure may enable quantum computing to be relatively and readily scaled across various types of quantum computers and users at various locations, in some cases without the need for users to have a deep understanding of the resources, implementation or the knowledge that may be required for solving optimization problems using a quantum computer. Systems provided herein may include user interfaces that enable users to perform data analysis in a distributed computing environment while taking advantage of quantum technology in the backend."
"10,043,035",Systems and methods for enhancing data protection by anonosizing structured and unstructured data and incorporating machine learning and artificial intelligence in classical and quantum computing environments,"August 7, 2018",G06F 21/6254 (20130101); H04L 9/065 (20130101); G06F 21/6218 (20130101); G06F 21/6263 (20130101); H04L 63/0414 (20130101); H04L 63/1441 (20130101); H04L 9/30 (20130101); H04L 63/0281 (20130101); G06F 2221/2101 (20130101); H04L 2209/42 (20130101),"Systems, computer-readable media, and methods for improving both data privacy/anonymity and data value, wherein real-world, synthetic, or other data related to a data subject can be used while minimizing re-identification risk by unauthorized parties and enabling data, including quasi-identifiers, related to the data subject to be disclosed to any authorized party by granting access only to the data relevant to that authorized party's purpose, time period, purpose, place and/or other criterion via the required obfuscation of specific data values, e.g., pursuant to the GDPR or HIPAA, by incorporating a given range of those values into a cohort, wherein only the defined cohort values are disclosed to the given authorized party. Privacy policies may include any privacy enhancement techniques (PET), including: data protection, dynamic de-identification, anonymity, pseudonymity, granularization, and/or obscurity policies. Such systems, media and methods may be implemented on both classical and quantum computing devices."
"10,037,493",Universal adiabatic quantum computing with superconducting qubits,"July 31, 2018",G06N 10/00 (20190101); H03K 19/1952 (20130101); H03K 3/38 (20130101); G11C 11/44 (20130101),"A quantum processor is operable as a universal adiabatic quantum computing system. The quantum processor includes physical qubits, with at least a first and second communicative coupling available between pairs of qubits via an in-situ tunable superconducting capacitive coupler and an in-situ tunable superconducting inductive coupler, respectively. Tunable couplers provide diagonal and off-diagonal coupling. Compound Josephson junctions (CJJs) of the tunable couplers are responsive to a flux bias to tune a sign and magnitude of a sum of a capacitance of a fixed capacitor and a tunable capacitance which is mediated across a pair of coupling capacitors. The qubits may be hybrid qubits, operable in a flux regime or a charge regime. Qubits may include a pair of CJJs that interrupt a loop of material and which are separated by an island of superconducting material which is voltage biased with respect to a qubit body."
"10,002,107",Systems and methods for removing unwanted interactions in quantum devices,"June 19, 2018",G06F 17/00 (20130101); G06N 10/00 (20190101); G06F 15/82 (20130101),"Systems, devices, articles, methods, and techniques for advancing quantum computing by removing unwanted interactions in one or more quantum processor. One approach includes creating an updated plurality of programmable parameters based at least in part on a received value for the characteristic magnetic susceptibility of the qubit in the at least one quantum processor, and returning the updated plurality of programmable parameters. Examples programmable parameters include local biases, and coupling values characterizing the problem Hamilton. Also, for example, a quantum processor may be summarized as including a first loop of superconducting material, a first compound Josephson junction interrupting the first loop of superconducting material, a first coupler inductively coupled to the first loop of superconducting material, a second coupler inductively coupled to the first loop of superconducting material, and a second loop of superconducting material proximally placed to the first loop of superconducting material inductively coupled to the first coupler and the second coupler."
"9,996,801",Microwave-free control of a superconductor-based quantum computer,"June 12, 2018",G06N 10/00 (20190101); G11C 11/44 (20130101),"Physical superconducting qubits are controlled according to an ""encoded"" qubit scheme, where a pair of physical superconducting qubits constitute an encoded qubit that can be controlled without the use of a microwave signal. For example, a quantum computing system has at least one encoded qubit and a controller. Each encoded qubit has a pair of physical superconducting qubits capable of being selectively coupled together. Each physical qubit has a respective tunable frequency. The controller controls a state of each of the pair of physical qubits to perform a quantum computation without using microwave control signals. Rather, the controller uses DC-based voltage or flux pulses."
"9,971,970",Microwave integrated quantum circuits with VIAS and methods for making the same,"May 15, 2018",G06N 10/00 (20190101); H01L 21/76891 (20130101); H01L 39/045 (20130101); H01L 21/76898 (20130101); H01L 21/76877 (20130101); H01L 39/223 (20130101); H01L 27/18 (20130101); H01L 2225/06541 (20130101); B82Y 10/00 (20130101); Y10S 977/933 (20130101); H01L 2225/1041 (20130101),"A quantum computing system includes a quantum circuit device, a substrate having a first surface on which the quantum processing device is disposed, and one or more vias each extending through the substrate. The vias include a material that is a superconducting material during operation of the quantum computing system."
"9,953,269",Modular array of vertically integrated superconducting qubit devices for scalable quantum computing,"April 24, 2018",H01L 25/04 (20130101); H01L 39/045 (20130101); G06N 10/00 (20190101); H01L 39/2493 (20130101); H01L 39/223 (20130101); H01L 27/18 (20130101),"A technique relates to an assembly for a quantum computing device. A quantum bus plane includes a first set of recesses. A readout plane includes a second set of recesses. A block is positioned to hold the readout plane opposite the quantum bus plane, such that the first set of recesses opposes the second set of recesses. A plurality of qubit chips are included where each has a first end positioned in the first set of recesses and has a second end positioned in the second set of recesses."
"9,892,365",Operating a multi-dimensional array of qubit devices,"February 13, 2018",G06F 13/36 (20130101); G06N 10/00 (20190101); G06F 15/80 (20130101); G06F 13/4068 (20130101),"In some aspects, a quantum computing system includes a multi-dimensional array of qubit devices. Coupler devices reside at intervals between neighboring pairs of the qubit devices in the multi-dimensional array. Each coupler device is configured to produce an electromagnetic interaction between one of the neighboring pairs of qubit devices. In some cases, each qubit device has a respective qubit operating frequency that is independent of an offset electromagnetic field experienced by the qubit device, and the coupling strength of the electromagnetic interaction provided by each coupler device varies with an offset electromagnetic field experienced by the coupler device. In some cases, readout devices are each operably coupled to a single, respective qubit device to produce qubit readout signals that indicate the quantum state of the qubit device."
"9,870,273",Methods and systems for quantum ready and quantum enabled computations,"January 16, 2018",G06F 9/5083 (20130101); G06F 21/44 (20130101); G06N 3/006 (20130101); H04L 41/046 (20130101); H04L 67/2823 (20130101); G06F 16/951 (20190101); G06F 9/54 (20130101); H04L 63/20 (20130101); G06N 10/00 (20190101); G06F 16/25 (20190101); G06F 9/4806 (20130101); H04L 67/10 (20130101); H04L 63/08 (20130101); G06N 5/043 (20130101),"The present disclosure provides methods, systems, and media for allowing access to quantum ready and/or quantum enabled computers in a distributed computing environment (e.g., the cloud). Such methods and systems may provide optimization and computational services on the cloud. Methods and systems of the present disclosure may enable quantum computing to be relatively and readily scaled across various types of quantum computers and users at various locations, in some cases without the need for users to have a deep understanding of the resources, implementation or the knowledge that may be required for solving optimization problems using a quantum computer. Systems provided herein may include user interfaces that enable users to perform data analysis in a distributed computing environment while taking advantage of quantum technology in the backend."
"9,836,699",Microwave integrated quantum circuits with interposer,"December 5, 2017",H01L 39/223 (20130101); H01L 39/2493 (20130101); H01L 27/18 (20130101); H01L 39/045 (20130101); G06N 10/00 (20190101); B82Y 10/00 (20130101); Y10S 977/933 (20130101); H01L 2225/06541 (20130101); H01L 2225/1041 (20130101),"A quantum computing apparatus, including a quantum circuit device; and an interposer including a connectorization layer including a plurality of terminals for connecting the quantum computing apparatus to a corresponding plurality of cables and a plurality of signal lines electrically coupled, via electrical contacts, to the plurality of terminals; and at least one intermediate layer between the quantum circuit device and the connectorization layer, the at least one intermediate layer comprising an integrated circuit layer, the at least one intermediate layer being electrically coupled to the signal lines of the interposer. The interposer is configured to supply the quantum circuit device, during operation of the quantum computing apparatus, at least control signals and readout signals to and from the plurality of cables."
"9,754,214",System for generation of groups of entangled particles for interaction with communication point devices,"September 5, 2017",G06N 10/00 (20190101),"Maximally entangled particle groups, organized into defined, shaped pulses, and patterns made up of these shaped pulses are described. Using the system and method of the present disclosure, a first group of maximally entangled particles is maximally entangled with another, second group of maximally entangled particles forming at least two groups of maximally entangled particles. These two groups are maximally entangled inter-group and maximally entangled intra-group. These groups can be manipulated in a quantum device to provide virtually error free logic in a quantum computing device, as compared to single particle manipulation, which suffers from data loss and decoherence."
"9,741,920",System and method for providing multi-conductive layer metallic interconnects for superconducting integrated circuits,"August 22, 2017",H01L 27/18 (20130101); H01L 39/2493 (20130101); H01L 39/223 (20130101); H01L 39/025 (20130101); H01L 23/48 (20130101); H01L 2924/0002 (20130101); H01L 2924/0002 (20130101); H01L 2924/00011 (20130101); H01L 2924/0002 (20130101); H01L 2924/00 (20130101),"Superconducting integrated circuits require several wiring layers to distribute bias and signals across the circuit, which must cross each other both with and without contacts. All wiring lines and contacts must be fully superconducting, and in the prior art each wiring layer comprises a single metallic thin film. An alternative wiring layer is disclosed that comprises sequential layers of two or more different metals. Such a multi-metallic wiring layer may offer improved resistance to impurity diffusion, better surface passivation, and/or reduction of stress, beyond that which is attainable with a single-metallic wiring layer. The resulting process leads to improved margin and yield in an integrated circuit comprising a plurality of Josephson junctions. Several preferred embodiments are disclosed, for both planarized and non-planarized processes. These preferred and other methods may be applied to digital circuits based on Rapid Single Flux Quantum logic, and to quantum computing using Josephson junction qubits."
"9,660,859",Methods and systems for quantum ready computations on the cloud,"May 23, 2017",G06F 9/54 (20130101); H04L 47/82 (20130101); H04L 67/2823 (20130101); G06F 9/4806 (20130101); G06F 16/951 (20190101); H04L 41/046 (20130101); H04L 63/20 (20130101); G06N 10/00 (20190101); H04L 63/08 (20130101),"The present disclosure provides methods, systems, and media for allowing access to quantum computers in a distributed computing environment (e.g., the cloud). Such methods and systems may provide optimization and computational services on the cloud. Methods and systems of the present disclosure may enable quantum computing to be relatively and readily scaled across various types of quantum computers and users at various locations, in some cases without the need for users to have a deep understanding of the resources, implementation or the knowledge that may be required for solving optimization problems using a quantum computer. Systems provided herein may include user interfaces that enable users to perform data analysis in a distributed computing environment while taking advantage of quantum technology in the backend."
"9,537,953",Methods and systems for quantum ready computations on the cloud,"January 3, 2017",G06F 9/54 (20130101); H04L 47/82 (20130101); H04L 67/2823 (20130101); G06F 9/4806 (20130101); H04L 63/20 (20130101); G06N 10/00 (20190101); G06F 16/951 (20190101); H04L 41/046 (20130101); H04L 63/08 (20130101),"The present disclosure provides methods, systems, and media for allowing access to quantum computers in a distributed computing environment (e.g., the cloud). Such methods and systems may provide optimization and computational services on the cloud. Methods and systems of the present disclosure may enable quantum computing to be relatively and readily scaled across various types of quantum computers and users at various locations, in some cases without the need for users to have a deep understanding of the resources, implementation or the knowledge that may be required for solving optimization problems using a quantum computer. Systems provided herein may include user interfaces that enable users to perform data analysis in a distributed computing environment while taking advantage of quantum technology in the backend."
"9,530,873",Semiconductor adiabatic qubits,"December 27, 2016",H01L 29/66977 (20130101); B82Y 10/00 (20130101); G06N 5/003 (20130101); H01L 29/7613 (20130101); G06N 10/00 (20190101); H01L 29/42312 (20130101),"A quantum computing device that includes a plurality of semiconductor adiabatic qubits is described herein. The qubits are programmed with local biases and coupling terms between qubits that represent a problem of interest. The qubits are initialized by way of a tuneable parameter, a local tunnel coupling within each qubit, such that the qubits remain in a ground energy state, and that initial state is represented by the qubits being in a superposition of |0> and |1> states. The parameter is altered over time adiabatically or such that relaxation mechanisms maintain a large fraction of ground state occupation through decreasing the tunnel coupling barrier within each qubit with the appropriate schedule. The final state when tunnel coupling is effectively zero represents the solution state to the problem represented in the |0> and |1> basis, which can be accurately read at each qubit location."
"9,524,470",Modular array of vertically integrated superconducting qubit devices for scalable quantum computing,"December 20, 2016",H01L 25/04 (20130101); H01L 39/045 (20130101); G06N 10/00 (20190101); H01L 39/2493 (20130101); H01L 39/223 (20130101); H01L 27/18 (20130101),"A technique relates to an assembly for a quantum computing device. A quantum bus plane includes a first set of recesses. A readout plane includes a second set of recesses. A block is positioned to hold the readout plane opposite the quantum bus plane, such that the first set of recesses opposes the second set of recesses. A plurality of qubit chips are included where each has a first end positioned in the first set of recesses and has a second end positioned in the second set of recesses."
"9,471,880",Systems and methods for interacting with a quantum computing system,"October 18, 2016",G06F 13/36 (20130101); G06N 10/00 (20190101); H05K 7/20372 (20130101); G06F 13/4068 (20130101),"Systems and methods that employ interactions between quantum computing systems and digital computing systems are described. For an iterative method, a quantum computing system may be designed, operated, and/or adapted to provide a rate of convergence that is greater than the rate of convergence of a digital supercomputer. When the digital supercomputer is iteratively used to evaluate an objective function at a cost incurred of C per iteration, the quantum computing system may be used to provide the input parameter(s) to the objective function and quickly converge on the input parameter(s) that optimize the objective function. Thus, a quantum computing system may be used to minimize the total cost incurred C.sub.T for consumption of digital supercomputer resources when a digital supercomputer is iteratively employed to evaluate an objective function."
"9,460,397",Quantum computing device spin transfer torque magnetic memory,"October 4, 2016",H01L 43/08 (20130101); H01L 43/12 (20130101); H01L 27/222 (20130101); G11C 11/16 (20130101); G11C 11/14 (20130101); G06N 10/00 (20190101); H01F 41/302 (20130101); H01F 10/329 (20130101); G11C 11/18 (20130101); G11C 11/1659 (20130101); G11C 11/161 (20130101); G11C 11/1675 (20130101); H01F 10/3272 (20130101); H01F 10/3286 (20130101),"A quantum computing device magnetic memory is described. The quantum computing device magnetic memory is coupled with a quantum processor including at least one quantum device corresponding to at least one qubit. The quantum computing device magnetic memory includes magnetic storage cells coupled with the quantum device(s) and bit lines coupled to the magnetic storage cells. Each of the magnetic storage cells includes at least one magnetic junction. The magnetic junction(s) include a reference layer, a nonmagnetic spacer layer, and a free layer. The nonmagnetic spacer layer is between the reference layer and the free layer. The magnetic junction(s) are configured to allow the free layer to be switched between stable magnetic states. The magnetic junction(s) are configured such that the free layer has a nonzero initial writing spin transfer torque in an absence of thermal fluctuations."
"9,400,499",Systems and methods for real-time quantum computer-based control of mobile systems,"July 26, 2016",G05D 1/00 (20130101); B60W 10/00 (20130101); G06N 10/00 (20190101); G06F 1/20 (20130101); G05D 1/0088 (20130101),"Systems and methods for integrating quantum computing systems into mobile systems for the purpose of providing real-time, quantum computer-based control of the mobile systems are described. A mobile system includes a data extraction subsystem that extracts data from an external environment of the mobile system and a quantum computing subsystem that receives data from the data extraction subsystem and performs a quantum computing operation in real-time using the data from the data extraction subsystem. A result of the quantum computing operation influences a behavior of the mobile system, such as the navigation of the mobile system or an action performed by the mobile system. The on-board quantum computing subsystem includes on-board quantum computing infrastructure that is adapted to suit the needs and spatial constraints of the mobile system."
"9,208,445",System and method of quantum computing using three-state representation of a qubit,"December 8, 2015",G06N 10/00 (20190101),"A method (and structure) of quantum computing. Two independent magnitudes of a three-state physical (quantum) system are set to simultaneously store two real, independent numbers as a qubit. The three-state physical (quantum) system has a first energy level, a second energy level, and a third energy level capable of being degenerate with respect to one another, thereby forming basis states for the qubit."
"9,400,499",Systems and methods for real-time quantum computer-based control of mobile systems,"July 26, 2016",G05D 1/00 (20130101); B60W 10/00 (20130101); G06N 10/00 (20190101); G06F 1/20 (20130101); G05D 1/0088 (20130101),"Systems and methods for integrating quantum computing systems into mobile systems for the purpose of providing real-time, quantum computer-based control of the mobile systems are described. A mobile system includes a data extraction subsystem that extracts data from an external environment of the mobile system and a quantum computing subsystem that receives data from the data extraction subsystem and performs a quantum computing operation in real-time using the data from the data extraction subsystem. A result of the quantum computing operation influences a behavior of the mobile system, such as the navigation of the mobile system or an action performed by the mobile system. The on-board quantum computing subsystem includes on-board quantum computing infrastructure that is adapted to suit the needs and spatial constraints of the mobile system."
"9,208,445",System and method of quantum computing using three-state representation of a qubit,"December 8, 2015",G06N 10/00 (20190101),"A method (and structure) of quantum computing. Two independent magnitudes of a three-state physical (quantum) system are set to simultaneously store two real, independent numbers as a qubit. The three-state physical (quantum) system has a first energy level, a second energy level, and a third energy level capable of being degenerate with respect to one another, thereby forming basis states for the qubit."
"9,207,672",Systems and methods for real-time quantum computer-based control of mobile systems,"December 8, 2015",G05D 1/00 (20130101); B60W 10/00 (20130101); G06N 10/00 (20190101); G06F 1/20 (20130101); G05D 1/0088 (20130101),"Systems and methods for integrating quantum computing systems into mobile systems for the purpose of providing real-time, quantum computer-based control of the mobile systems are described. A mobile system includes a data extraction subsystem that extracts data from an external environment of the mobile system and a quantum computing subsystem that receives data from the data extraction subsystem and performs a quantum computing operation in real-time using the data from the data extraction subsystem. A result of the quantum computing operation influences a behavior of the mobile system, such as the navigation of the mobile system or an action performed by the mobile system. The on-board quantum computing subsystem includes on-board quantum computing infrastructure that is adapted to suit the needs and spatial constraints of the mobile system."
"9,152,746",Quantum annealing simulator,"October 6, 2015",G06F 17/5009 (20130101); G06N 7/005 (20130101); G06N 10/00 (20190101),"A quantum annealer simulator approximates unitary quantum dynamics of a quantum annealer on a non-quantum computing device such as a conventional computing device. The quantum annealer simulator may utilize algorithms that may efficiently approximate unitary time evolution of a quantum system, where the quantum system corresponds to a problem for which an optimized solution is sought."
"9,130,116",System and method for providing multi-conductive layer metallic interconnects for superconducting integrated circuits,"September 8, 2015",H01L 27/18 (20130101); H01L 39/2493 (20130101); H01L 23/48 (20130101); H01L 39/223 (20130101); H01L 39/025 (20130101); H01L 2924/0002 (20130101); H01L 2924/0002 (20130101); H01L 2924/00011 (20130101); H01L 2924/0002 (20130101); H01L 2924/00 (20130101),"Superconducting integrated circuits require several wiring layers to distribute bias and signals across the circuit, which must cross each other both with and without contacts. All wiring lines and contacts must be fully superconducting, and in the prior art each wiring layer comprises a single metallic thin film. An alternative wiring layer is disclosed that comprises sequential layers of two or more different metals. Such a multi-metallic wiring layer may offer improved resistance to impurity diffusion, better surface passivation, and/or reduction of stress, beyond that which is attainable with a single-metallic wiring layer. The resulting process leads to improved margin and yield in an integrated circuit comprising a plurality of Josephson junctions. Several preferred embodiments are disclosed, for both planarized and non-planarized processes. These preferred and other methods may be applied to digital circuits based on Rapid Single Flux Quantum logic, and to quantum computing using Josephson junction qubits."
"9,049,010",Portable data encryption device with configurable security functionality and method for file encryption,"June 2, 2015",G06F 21/32 (20130101); H04W 12/06 (20130101); G06F 21/72 (20130101); H04L 9/085 (20130101); H04L 9/0822 (20130101); H04L 9/0861 (20130101); H04L 9/0877 (20130101); H04L 9/3226 (20130101); H04L 63/0428 (20130101); H04L 63/061 (20130101); H04L 63/0876 (20130101); H04L 9/0816 (20130101); H04W 12/04 (20130101); G06F 21/6218 (20130101); G06F 2221/2113 (20130101); G06F 2221/2153 (20130101); H04L 2209/80 (20130101); H04L 2209/24 (20130101); H04W 12/02 (20130101),"A portable encryption device with logon access controlled by an encryption key, with an on board cryptographic processor for reconstituting the encryption key from a plurality of secrets generated by a secret sharing algorithm, optionally shrouded with external secrets using an invertible transform resistant to quantum computing attacks. Another embodiment provides file decryption controlled by a file encryption key, with the on board cryptographic processor reconstituting the file encryption key from a version of the file encryption key which has been shrouded with a network authorization code. A method for encryption of a plaintext file by hashing, compressing, and encrypting the plaintext file, hashing the ciphertext, hashing the plaintext hash and the ciphertext hash, and sealing the ciphertext together with the resulting hash. A portable encryption device for performing the method is also disclosed."
"8,995,797",Periodic probabilistic two-dimensional cluster state generator with arbitrary interconnections,"March 31, 2015",H04B 10/90 (20130101),"A Periodic Cluster State Generator (PCSG) consisting of a monolithic integrated waveguide device that employs four wave mixing, an array of probabilistic Photon Guns, single mode Sequential Entanglers and an array of controllable entangling gates between modes to create arbitrary size and shape cluster states with several constraints. The cluster state is assumed linear or square lattice. Only nearest neighbor qubits are entangled. Such a cluster state resource has been proven to be able to perform universal quantum computing if the initial state is large enough."
"8,816,325",Scalable quantum computer architecture with coupled donor-quantum dot qubits,"August 26, 2014",H01L 29/66984 (20130101); G06N 10/00 (20190101); B82Y 10/00 (20130101),"A quantum bit computing architecture includes a plurality of single spin memory donor atoms embedded in a semiconductor layer, a plurality of quantum dots arranged with the semiconductor layer and aligned with the donor atoms, wherein a first voltage applied across at least one pair of the aligned quantum dot and donor atom controls a donor-quantum dot coupling. A method of performing quantum computing in a scalable architecture quantum computing apparatus includes arranging a pattern of single spin memory donor atoms in a semiconductor layer, forming a plurality of quantum dots arranged with the semiconductor layer and aligned with the donor atoms, applying a first voltage across at least one aligned pair of a quantum dot and donor atom to control a donor-quantum dot coupling, and applying a second voltage between one or more quantum dots to control a Heisenberg exchange J coupling between quantum dots and to cause transport of a single spin polarized electron between quantum dots."
"8,745,850",Method of manufacturing superconducting low pass filter for quantum computing,"June 10, 2014",B82Y 10/00 (20130101); H01L 39/24 (20130101); H03H 1/00 (20130101); H03H 3/00 (20130101); H03H 7/0115 (20130101); G06N 10/00 (20190101); H03H 2001/0057 (20130101); H03H 2001/0092 (20130101); Y10T 29/49071 (20150115); Y10T 29/49014 (20150115); H03H 2001/005 (20130101),An apparatus and method for manufacturing a superconducting low-pass filter for quantum computing devices. The apparatus includes a plurality of containers and input and output ports connected to opposite ends of the apparatus. A plurality of coils of superconducting wire are wound using a mandrel. An adhesive is applied to the coils for maintaining a wound state. Each of the coils are positioned in each of the containers and electrically connected to each other with at least one coil being connected to the input port and at least one coil being connected to the output port. The coils are released or expanded from their wound state using an adhesive solvent. The containers are then filled with a conductive polymer and the containers are closed with one or more covers.
"8,504,497",Methods of adiabatic quantum computation,"August 6, 2013",G06N 10/00 (20190101); B82Y 10/00 (20130101),"A method for quantum computing using a quantum system comprising a plurality of qubits is provided. The system can be in any one of at least two configurations at any given time including one characterized by an initialization Hamiltonian H.sub.O and one characterized by a problem Hamiltonian H.sub.P. The problem Hamiltonian H.sub.P has a final state. Each respective first qubit in the qubits is arranged with respect to a respective second qubit in the qubits such that they define a predetermined coupling strength. The predetermined coupling strengths between the qubits in the plurality of qubits collectively define a computational problem to be solved. In the method, the system is initialized to H.sub.O and is then adiabatically changed until the system is described by the final state of the problem Hamiltonian H.sub.P. Then the state of the system is read out by probing an observable of the .sigma..sub.X Pauli matrix operator."
"8,437,168",Josephson quantum computing device and integrated circuit using such devices,"May 7, 2013",G06N 10/00 (20190101); B82Y 10/00 (20130101),"A Josephson quantum computing device and an integrated circuit using Josephson quantum computing devices which can realize a NOT gate operation controlled with 2 bits will be provided. The Josephson quantum computing device (1) comprises: a superconducting ring member (10) having a .pi.-junction (6) and a 0-junction (7); and a quantum state detecting member (20) constituted by a superconducting quantum interference device arranged outside of the superconducting ring member, wherein a bonding and an antibonding state brought about by a tunneling effect between a |.uparw.> and a |.dwnarw.> state as two states degenerate in energy of the superconducting ring member (10) are regarded as quantum bits. The bonding and antibonding states as the quantum bits are read out by the quantum state detecting member (20). The two bit controlled NOT gate operation can be performed by the two quantum bits comprising said quantum bits."
"8,374,994",System and method of quantum computing using three-state representation of a qubit,"February 12, 2013",G06N 10/00 (20190101); B82Y 10/00 (20130101),"A method (and structure) of quantum computing. Two independent magnitudes of a three-state physical (quantum) system are set to simultaneously store two real, independent numbers as a qubit. The three-state physical (quantum) system has a first energy level, a second energy level, and a third energy level capable of being degenerate with respect to one another, thereby forming basis states for the qubit."
"8,355,765",Magnetic vacuum systems and devices for use with superconducting-based computing systems,"January 15, 2013",H05K 9/0077 (20130101),"Magnetic shields and magnetic shielding systems are described. The excessive spatial demands of known mu-metal/cryoperm and superconducting shielding systems are reduced by a new multi-piece shield construction approach. A complete magnetic shielding system for use with superconducting-based computing systems, such as superconducting quantum computing systems, is also described. This complete system may include mu-metal/cryoperm shields and superconducting shields using either compensatory magnetic fields, expulsion by temperature gradients, or a combination of the two."
"8,301,214",System and method for providing multi-conductive layer metallic interconnects for superconducting integrated circuits,"October 30, 2012",H01L 39/2493 (20130101); H01L 27/18 (20130101); H01L 2924/0002 (20130101); H01L 2924/0002 (20130101); H01L 2924/00 (20130101),"Superconducting integrated circuits require several wiring layers to distribute bias and signals across the circuit, which must cross each other both with and without contacts. All wiring lines and contacts must be fully superconducting, and in the prior art each wiring layer comprises a single metallic thin film. An alternative wiring layer is disclosed that comprises sequential layers of two or more different metals. Such a multi-metallic wiring layer may offer improved resistance to impurity diffusion, better surface passivation, and/or reduction of stress, beyond that which is attainable with a single-metallic wiring layer. The resulting process leads to improved margin and yield in an integrated circuit comprising a plurality of Josephson junctions. Several preferred embodiments are disclosed, for both planarized and non-planarized processes. These preferred and other methods may be applied to digital circuits based on Rapid Single Flux Quantum logic, and to quantum computing using Josephson junction qubits."
"8,294,967",Coherent photonic frequency conversion (CPFC) for quantum computing using pumped four-wave mixing processes,"October 23, 2012",B82Y 10/00 (20130101); G06N 10/00 (20190101); H04L 9/0852 (20130101); G02F 1/3536 (20130101),"A system and method for the controlled generation, manipulation, and conversion of individual photons in and for a quantum computing environment or a quantum communication environment are provided. Systems and methods for doubling a single photon in a first propagation mode into two new photons in one or two new propagation modes, combining two photons in one or two propagation modes into a single photon of a single propagation mode, and implementing a pi phase shift on a two-photon state but not on the one-photon state in a fully controlled, consistent, and repeatable fashion are also provided, as well as a source of individual photons having clearly defined and fully controllable properties. Embodiments of the above allow for generation and conversion operations that are up to 100% efficient. The generation, conversion, combination, and phase shifting operations are preferably carried out inside a non-linear .chi..sup.3 material of a predetermined length."
"8,284,585",Josephson quantum computing device and integrated circuit using such devices,"October 9, 2012",G06N 10/00 (20190101); B82Y 10/00 (20130101),"A Josephson quantum computing device and an integrated circuit using Josephson quantum computing devices which can realize a NOT gate operation controlled with 2 bits will be provided. The Josephson quantum computing device (1) comprises: a superconducting ring member (10) having a .pi.-junction (6) and a 0-junction (7); and a quantum state detecting member (20) constituted by a superconducting quantum interference device arranged outside of the superconducting ring member, wherein a bonding and an antibonding state brought about by a tunneling effect between a |.uparw.> and a |.dwnarw.> state as two states degenerate in energy of the superconducting ring member (10) are regarded as quantum bits. The bonding and antibonding states as the quantum bits are read out by the quantum state detecting member (20). The two bit controlled NOT gate operation can be performed by the two quantum bits comprising said quantum bits."
